company name,contact number,area,product category 1,product category 2,product category 3,company description
"Modern Technology for supplies & Engineering, MTSE","+20 2 24147507, 02-22903160, 02-22903161",مصر الجديده.القاهره,"Transistors, thyristors and metal rectifiers",Electronic equipment. Telecommunications equipment,"Transistors, germanium...","Transistors, germanium..."
Helmy Mohamed Hassan Youssef & Partners,"+20 2 26904205, 02-26903318, 010-1107561, 010-6699582, 010-1008378, 011-1273292",مدينه نصر.القاهره,"Sheet and film, plastic",Plastic products,"Sheet and film, acrylic...","Sheet and film, acrylic...Agent, importer of plastic materials [poly carbonite polyester PVDF sheets, aluminum panel]. CAPITAL PAID:- 100000 EGP TOTAL ASSETS:- 3424398 EGP COMM.REGISTRY NO.:- 3679 TAX CARD NO.:- 325-206-074 Legal form: Ltd. Partnership Legal Sector:Private"
Tagoury's House,"+20 2 24178914, 02-22908491, 02-24196339, 012-3220145, 010-9207330",مصر الجديده.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden..."
Rowad Trade & Supplies,"+20 2 24050876, 02-24018885",مدينه نصر.القاهره,Bag filling machinery and equipment,"Packaging machinery, equipment and services","Bag and sack sealing machines, with paper and wire ties...","Bag and sack sealing machines, with paper and wire ties...Agrifood supply chain services. Importer & commercial agents for plastic packaging & wrapping machinery. [Last data from the company at the print time]. Legal form: Individual Ent. Legal Sector:Private"
Freesage Trade,"+20 2 26773617 Mob: 10-00073090-99, 02-26772190",مدينه نصر.القاهره,Pneumatic and hydro-pneumatic parts and accessories,Engines and mechanical parts,Wholesale trade...,Wholesale trade...Importer of pneumatic machines spare parts used for purifying of the air from the impurities. Legal form: Individual Ent. Legal Sector:Private
Youssef Fawzy & Co. Import & Export,"+20 2 25779620, 02-25760236",وسط البلد.القاهره,Agricultural and forestry machinery and equipment,Agricultural tractors,Agricultural equipment parts and accessories...,Agricultural equipment parts and accessories...Importer of agriculture tractors spare parts. Legal form: Partnership Legal Sector:Private
Islamia Import,+20 2 27058846,المعادى.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Importer of computers & their accessories. Legal form: Partnership Legal Sector:Private"
Inter Tractor,"+20 2 25752925, 012-2108580",وسط البلد.القاهره,Internal combustion engines,Engines and mechanical parts,Petrol engines...,Petrol engines...Importer of tractors spare parts[engines]. Legal form: Individual Ent. Legal Sector:Private
Glass & Glass,+20 2 22902898,مصر الجديده.القاهره,Textile spinning and twisting machinery,"Textile, clothing, leather and shoemaking machinery and equipment",Rubber processing machinery and equipment...,Rubber processing machinery and equipment...Importer of machines for plastic & textile industries. Legal form: Individual Ent. Legal Sector:Private
Felobater Group,+20 2 25125854,الازهر.القاهره,"Leathers, furs and their products","Accessories, leather NES","Frames, leather, for pictures and mirrors...","Frames, leather, for pictures and mirrors...Importer of domestic appliances [pots, boilers & cups] & giftware[vases, antiques & picture frames]. Legal form: Individual Ent. Legal Sector:Private"
Merck Ltd,"+20 2 26901269, 02-26901245",مصر الجديده.القاهره,Wholesale trade,"General traders, department and retail stores",Chemicals and pharmaceuticals (wholesale),"Chemicals and pharmaceuticals (wholesale)Importer of medicines for [heart, diaples & pressure]. Legal form: Branch Legal Sector:Private"
Eissa Group,"+20 2 22624747, 02-24054484",مدينه نصر.القاهره,"Ores, iron",Ores and minerals,Wholesale trade...,Wholesale trade...Importer of iron & steel. 3 Server:1 Application:N/A Legal form: Joint Stock Legal Sector:Private
"Midland for Electrical Equipment, M.E.E","+20 2 22720423, 02-22758974",مدينه نصر.القاهره,Furniture and linen,Furniture for hotels and restaurants,"Furniture, hotel, wooden...","Furniture, hotel, wooden...Importer of hotels kitchens requisites & electric appliances[ovens, washing machines & refrigerators]. Legal form: Individual Ent. Legal Sector:Private"
El-Safa for Import & Export,"+20 2 26974906, 012-7968111, 014-4002745",مصر الجديده.القاهره,Tin,Basic metal products,Non-ferrous metals and alloys NES...,Non-ferrous metals and alloys NES...
ECA World Wide Import & Export,"+20 2 24012028, 02-24032340, 011-2855599",مدينه نصر.القاهره,Information technology (IT) and Internet,Servers (computing),Personal computers (PC)...,Personal computers (PC)...Distributor of computer & computer accessories. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 363081 TAX CARD NO.:- 611-680-440 Legal form: Individual Ent. Legal Sector:Private
Arab Contractors Mechanical & Electrical Engineering,"+20 2 42228354, 02-24155388, 02-24155386, 02-24154922, 02-24154923, 012-1829518, 012-7715210",مصر الجديده.القاهره,Pumps NES,Engines and mechanical parts,"Pumps, steel...","Pumps, steel...Pumps for concrete, water & sewage, conveyor belts, escalators & winches. CAPITAL PAID:- 7500000 EGP CAPITAL ISSUED:- 7500000 EGP CAPITAL AUTHORIZED:- 50000000 EGP COMM.REGISTRY NO.:- 4742 Legal form: Joint Stock Legal Sector:Private Law 159"
Ahmed Faraag,+20 2 23921911,وسط البلد.القاهره,Agriculture and forestry,Root vegetables,Tuberous and rhizome vegetables...,"Tuberous and rhizome vegetables...Agrifood supply chain trade specialized in exports & imports of agriculture craps fruit [banana, mango] & vegetables [tomatoes & eggplants] & legumes [lentils, beans & corn]."
Arabian Trade House Croporation,"+20 2 22913375, 02-22913365",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Commercial agents & importer of medical equipment specially heart surgeries requisites. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 14504 Cairo IMP.REGISTRY NO.:- 34352 TAX CARD NO.:- 290-509-343 Legal form: Individual Ent. Legal Sector:Private
Zanmar Est. Ltd.,+20 2 22687407,مصر الجديده.القاهره,"Health, medical and pharmaceutical",Parapharmaceutical preparations,Pharmaceutical veterinary preparations...,Pharmaceutical veterinary preparations...Importer & exporter distributor of pharmaceuticals & veterinary preparations.
United Group Grains Import,"+20 2 26383155, 02-26336428",مصر الجديده.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Corn/maize...,"Corn/maize...Agrifood supply chain trade specialized in imports of grains [wheat, corn, soybeans]. Legal form: Individual Ent. Legal Sector:Private"
6th of October,"+20 2 26740901, 02-26740902, 02-26740903, 011-44444261",العباسيه.القاهره,"Hardware, ironmongery, cutlery and tools","Kitchen articles and tableware, metal","Kitchenware, aluminium...","Kitchenware, aluminium..."
Curamed Egypt Medical,"+20 2 22614501, 011-7880580",مدينه نصر.القاهره,Wholesale trade,"General traders, department and retail stores","Hospital, medical, dentistry and veterinary equipment (wholesale)","Hospital, medical, dentistry and veterinary equipment (wholesale)The company works in the field of medical equipment supplies. Importing of production requisites. CAPITAL PAID:- 150000 EGP TOTAL ASSETS:- 190000 EGP COMM.REGISTRY NO.:- 336018 TAX CARD NO.:- 210-613-750 Legal form: Partnership Legal Sector:Private"
Commercial Rock Engineering,+20 2 25776169,وسط البلد.القاهره,"Bearings and pillow blocks, mechanical",Engines and mechanical parts,Ball bearings...,Ball bearings...Importer & distributor of roll bearing. Legal form: Individual Ent. Legal Sector:Private
Stamp Int'l,+20 2 26215547,مصر الجديده.القاهره,Photo-engraving services,Printing and publishing,"Printing services, photogravure...","Printing services, photogravure...Designing & printing for all kind of commercial publishing, catalogues & magazine. Importer & ageut of paper making machines, press machines & packing machines."
Mafa Trading Ltd,+20 2 25781151,وسط البلد.القاهره,Paper bags and sacks for packaging,Paper and board,"Paper bags and sacks for packaging, by use...","Paper bags and sacks for packaging, by use..."
"Hamdy Eid & Co., M.H.A",+20 2 22617510,مدينه نصر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Importer of medical equipment for hospitals. CAPITAL PAID:- 300000 EGP CAPITAL ISSUED:- 600000 EGP TOTAL ASSETS:- 4000000 EGP COMM.REGISTRY NO.:- 278739 Cairo Legal form: Ltd. Partnership Legal Sector:Private
Tawfik Trade,"+20 2 25745080, 02-25744745, 014-5655990",وسط البلد.القاهره,Food,"Vegetables, dried",Beverages...,Beverages...
Diversey Egypt,"+20 2 22650100 Hotline 19302, 02-22650111",مصر الجديده.القاهره,Hygiene and cleaning,Cleaning products and detergents,"Cleaning products and detergents, by use...","Cleaning products and detergents, by use...Supply of chemicals & detergents. CAPITAL PAID:- 7230000 EGP COMM.REGISTRY NO.:- 279191 Cairo Journal Issue No.:- 1240 Legal form: Ltd. Liability Legal Sector:Private"
Modern Touch,"+20 2 27382692, 02-27351536, 012-2119237, 010-1090940",الزمالك.القاهره,Electronic equipment. Telecommunications equipment,Sound equipment,Sound and light equipment for discotheques...,Sound and light equipment for discotheques...Importer & commercial agents in sound system fields. Distributor of light systems. Rental of d.j & maintenance services. 6 Computers with network. Legal form: Partnership Legal Sector:Private
Form for Import & Export,"+20 2 26391861, 02-26392296",مصر الجديده.القاهره,Basic metal products,"Sheets and strips, steel, hot rolled","Sections, steel and rolled steel...","Sections, steel and rolled steel..."
Siag Foreign Trade,"+20 2 23909276, 02-23909865, 02-23904633",وسط البلد.القاهره,Chemical products,"Chemicals for paint, lacquer and varnish making",Security equipment...,Security equipment...
Leoni Wiring Systems Egypt,"+20 2 22747715 8 lines, 02-22758494, 02-22749206, 02-22749099",مدينه نصر.القاهره,Telecommunication systems,Electronic equipment. Telecommunications equipment,"Telecommunication systems, nodal point...","Telecommunication systems, nodal point..."
Shamsi for Ready-Made Garments,"+20 2 24259740, 02-24259710",حدائق القبه.القاهره,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton..."
Commercial Advisory Group,"+20 2 24185794, 02-24149560",مصر الجديده.القاهره,"Timber, wooden products, machinery and equipment for the woodworking industry",Timber preparation machinery and equipment,Wood milling and moulding machines...,"Wood milling and moulding machines...Agent & importer of night vision appliances. Importer of workshop equipment, water tanks, fire engines & equipped trucks. Legal form: Partnership Legal Sector:Private"
Ericsson Egypt Ltd.,"+20 2 35369100, 02-35370141, 9 lines, 02-35370149, 02-35369405, 010-7777494",ط.قاهره/اسكندريه.القاهره,Equipment for telephone networks,Electronic equipment. Telecommunications equipment,"Telephone exchanges, electronic...","Telephone exchanges, electronic..."
Salamtex Manufacturer of Lace,"+20 2 26988830, 02-26988831, 02-26988832, 02-22574115, 012-7900522, 010-1164620",مدينه السلام.القاهره,Textiles,"Fabrics, man-made fibres","Fabrics, mixed man-made fibres","Fabrics, mixed man-made fibres"
Hearty Egypt,+20 2 22913822,مصر الجديده.القاهره,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton..."
New Maisko Int'l,"+20 2 22405322, 02-26383812","مصر الجديده,القاهره","Hairdressing and beauty care products, plastic",Plastic products,"Combs, plastic...","Combs, plastic...Agent & importer of cosmetics & hairdressers requisites [shampoo, bath creams & scissors]. CAPITAL PAID:- 20000 EGP Legal form: Individual Ent. Legal Sector:Private"
Egypt for Medical Clothes,"+20 2 23930905, 02-23929225","عابدين,القاهره",Clothing and footwear,"Workwear and uniforms, by occupation",Uniforms for nurses...,Uniforms for nurses...
